time,acc-side,acc-up/down,acc-front/back
1566152806054,1.42,-0.27,-0.65
1566152806074,3.03,2.07,-3.76
1566152806094,-0.11,8.97,0.42
1566152806114,-1.46,40.54,-11.88
1566152806134,2.61,9.54,7.24
1566152806155,3.26,24.79,-7.4
1566152806175,4.25,19.81,1.07
1566152806195,3.79,21.38,-1.49
1566152806215,2.22,17.21,-0.5
1566152806235,2.15,12.26,0.15
1566152806255,1.65,9.04,-1.26
1566152806276,0.57,4.56,-2.34
1566152806296,0.46,0.46,-0.46
1566152806316,-0.34,-0.8,-1.72
1566152806336,-2.68,-1.07,-3.64
1566152806356,-3.68,-3.1,-7.89
1566152806376,-1.99,-6.59,-5.21
1566152806396,-0.57,-5.06,-4.18
